id;ref_table;columns;path;is_active
1;Shoes Vermont;Bedfordshire deposit;Fresh Bypass;true
2;Regional Bulgarian;Monitored;Sports Mobility;false
3;blue Cambridgeshire;back-end;Markets Inverse metrics;false
4;Franc payment coherent;connecting;East Sports;false
5;Causeway override;overriding Hawaii Rial;Awesome;false
6;protocol auxiliary Investment;revolutionary sensor;transparent Virginia;true
7;Pants;Georgia Rubber;Senior users bandwidth-monitored;true
8;Coordinator;Personal;Tuna Pants protocol;true
9;transmit innovative Venezuela;stable bus;hard forecast Internal;false
10;Kids;lime Licensed;incubate;false
