id;name;priority_number;is_active;config
1;Strategist online;99962;false;hybrid Niue
2;Account Loaf Stream;46254;true;local Rubber index
3;overriding SQL Soap;94331;false;Chips Ergonomic
4;SMTP Account synthesizing;71624;true;lime Chair Idaho
5;Loan Cheese Wyoming;91573;false;Program Fork Moldovan
6;haptic;20591;false;compressing Developer
7;extranet Towels;44668;false;Pants protocol payment
8;Towels;13602;true;Won area
9;policy Carolina intuitive;96425;true;interface Trace Identity
10;software Pants;3278;true;engineer multi-byte
