id;country_code;country_name;priority_number;ministry_name;ministry_english_name;postal_address;invoicing_address;shipping_address;contact_eun_first_name;contact_eun_last_name
1;ER;system;3554;payment Texas;drive;withdrawal;Executive Wyoming;Unbranded calculating;Center Money virtual;B2B Berkshire Account
2;AU;Account Renminbi;78005;SAS;Concrete;challenge embrace;circuit Sleek;e-tailers Palau hacking;Practical Account;Fresh silver
3;TZ;Utah holistic Shoes;14602;directional;Account solutions;Saint UIC-Franc;Peso integrated Regional;Texas;Delaware Awesome Handmade;Avon Metrics
4;PH;Granite SCSI Legacy;62655;Principal Checking;Table convergence;Shore;Fish;Practical;Tactics synthesizing back-end;Profound
5;NZ;Granite frame;72198;Intranet;Assurance Savings;synergistic online 4th;SDD;harness Cambridgeshire;Account;transform
6;AL;Steel;53021;Avon Global;the SAS parsing;Investor Accounts pricing;Cayman;project;calculating neutral homogeneous;bypass Configuration
7;PA;e-business Fords Refined;93426;Chair calculating grow;Kwanza Towels Account;Salad override;Dollar yellow deposit;Director Mandatory capacitor;Savings Fresh;Reverse-engineered optical attitude-oriented
8;MR;Borders;15470;auxiliary;architectures bypassing Tactics;definition;Avon Factors;leverage virtual purple;Global Chips yellow;salmon Buckinghamshire
9;QA;Virtual Loan;56514;Planner;Multi-channelled rich;Versatile;Security Boliviano Technician;flexibility index;Quality Botswana turquoise;Center protocol Somali
10;RS;Burundi parsing;92974;cross-platform Awesome;Configuration blue complexity;Cotton white Home;Borders state Frozen;Licensed Fiji;Tuna facilitate bus;metrics PNG sensor
