id;odata_etag;external_id;job_number;description;description_2;bill_to_customer_no;bill_to_name;bill_to_country_region_code;sell_to_contact;your_reference;contract_no;status_proposal;starting_date;ending_date;duration_in_months;project_manager;project_manager_mail;eun_role;visa_number;job_type;job_type_text;job_program;program_manager;budget_eun;funding_eun;funding_rate;budget_consortium;funding_consortium;overhead_perc
1;sensor Soap;Table Pound;Cotton;context-sensitive feed Persevering;Wooden;Phased Trafficway;generating Ergonomic Advanced;clicks-and-mortar payment Computers;Steel input;Frozen;repurpose hardware;alarm;2024-01-18;2024-01-17;52639;Account Wooden;Small International;Tools Soap;Metal Borders Quality-focused;primary Metrics Virginia;Shirt generate;XSS Grocery;Arkansas task-force supply-chains;79279;12532;11579;11135;28638;40745
2;circuit;compress;Beauty vortals;connect;Gorgeous quantify bleeding-edge;monetize Soft;Fantastic invoice;deposit;multi-byte sensor system;Administrator non-volatile;hard compressing;best-of-breed Producer e-business;2024-01-18;2024-01-17;99823;Cheese;Camp deposit turquoise;withdrawal;Loan;payment;even-keeled Toys Metal;Bahamas cross-platform Berkshire;cross-platform Rial;81598;57638;60342;15078;54186;37621
3;Personal;solutions;plug-and-play calculating;Delaware;Shoes;Proactive;stable Refined Granite;Tuna;gold PNG;Skyway PNG virtual;AI Synergized;Chips User-centric;2024-01-18;2024-01-17;89269;Wooden;lime Michigan;cyan;Taka Yen calculate;payment generation Senior;Green parse;Personal Gorgeous magenta;Outdoors Frozen;72169;88966;36713;59269;66759;48473
4;Bike Group;Web;Shoes;synthesizing;navigate XML Fuerte;deposit extensible;Islands concept transform;Borders pixel;bluetooth Ethiopian fault-tolerant;Wooden Clothing;Generic;Intranet PCI matrix;2024-01-18;2024-01-17;85105;Republic vortals Director;uniform;Handcrafted Innovative lime;application;Lead Massachusetts Squares;radical Chair;Central;Borders;56813;50886;28652;78691;41826;61505
5;Lanka brand Palestinian;encoding olive;program;embrace Response;Developer HTTP;Loan;Quality SMS Computers;protocol;Florida;Bike;Computers encompassing Cuban;Metal;2024-01-18;2024-01-17;97427;teal;exploit Missouri;EXE;Shoes;Camp withdrawal;Chicken Burkina;killer;invoice;86997;5443;26280;62616;43742;70786
6;Strategist;Euro withdrawal Bacon;grey;Credit;online Federation back-end;Identity Auto withdrawal;support;Account;Usability architecture Orchestrator;Shoes virtual Handmade;Quality;Garden Islands, Strategist;2024-01-18;2024-01-17;32837;withdrawal Terrace protocol;array;green;Account;frame Pizza Frozen;Cotton Integration transmitter;black;Fresh;23260;60558;16826;18776;4707;77177
7;pixel Fresh;policy;quantifying;invoice repurpose;compressing Home;HTTP Outdoors;Card Jewelery;cyan;Tasty generate Senior;Incredible Quality-focused;Connecticut Estate Plains;Account;2024-01-18;2024-01-17;96212;primary payment;Timor-Leste;Baby e-business AI;Mouse;payment;frictionless bi-directional;Central Accounts Group;Automotive Metal blue;98103;32027;11080;21562;32814;70315
8;Berkshire;transmitter withdrawal;Object-based Isle Dollar;Shoal;indexing (the productivity;virtual Cambridgeshire;Shirt Card Facilitator;deposit;Tuna index Togo;morph;programming Gorgeous;Health FTP Industrial;2024-01-18;2024-01-18;85301;Garden channels Hawaii;Refined;Lats Solutions target;TCP parsing Associate;partnerships Macao mesh;Granite;models connecting Group;Chair back index;29304;44695;51889;6745;37506;27516
9;Loan Granite;Handmade fuchsia Botswana;Synergistic superstructure Focused;product partnerships;conglomeration Applications matrices;whiteboard;synthesizing Front-line;connect Tuna;input;RSS encompassing;Soft;Exclusive application Automotive;2024-01-17;2024-01-17;25267;deposit;Meadow port;Towels THX attitude;concept;Movies;sticky;Grocery;project;21308;86168;99211;26185;57077;26747
10;Walk;protocol Metal;National;Fish Borders;Guinea payment Loan;Gorgeous;Falkland line Organic;AGP visionary;Generic client-server Licensed;Balanced Iran;olive;National;2024-01-18;2024-01-17;89312;Avon Buckinghamshire;Rustic transparent;empower Rustic Intelligent;payment Markets;Common;Unit Fresh Specialist;protocol circuit;Dollar Interactions transmit;39397;78311;31668;66230;81166;81939
