id;name;acronym;description;type;status
1;deposit azure;eco-centric Consultant Place;wireless national Towels;payment deposit Branding;Bedfordshire Fish black
2;users Customer optimal;initiatives;Anguilla Administrator;e-business;Tuna bypassing cross-platform
3;Ball;Intuitive;Plaza;Sum;navigating Product wireless
4;microchip Kina;Polarised utilize;COM contextually-based Fresh;green architect;solution-oriented communities
5;Accountability portals Shoes;invoice;synthesizing Investment Account;Chips;and purple Concrete
6;Factors;Movies;killer;South;value-added intelligence
7;middleware Frozen intuitive;Small;Group overriding protocol;Gateway;Markets Key
8;parsing;Bedfordshire e-enable;Caribbean payment;interfaces;transmit software
9;mobile Jewelery;Bike;Chips Saint Lead;Fresh Bacon;virtual
10;Account Auto;Avon;Buckinghamshire firewall Handcrafted;Virtual;Specialist Soft
