id;status;join_date;funding_for_organization;participation_to_matching_funding;school_registration_possible;teacher_participation_possible;ambassadors_pilot_teachers_leading_teachers_identified;users_can_register_to_portal
1;Frozen Principal Nicaragua;2023-04-28;66087;84735;true;true;false;true
2;Future;2023-04-28;20584;8375;true;false;false;true
3;tertiary Electronics;2023-04-28;64322;95465;true;true;true;true
4;Cross-platform;2023-04-28;55899;8087;true;false;false;true
5;Branding;2023-04-27;56671;41371;true;false;true;true
6;connect Glens;2023-04-27;7642;91010;true;true;false;false
7;Saint copying Corner;2023-04-28;51991;53722;false;false;true;false
8;Michigan;2023-04-27;64752;67563;true;false;true;true
9;Cambridgeshire partnerships;2023-04-27;28276;19938;true;true;false;true
10;Plains portal;2023-04-27;69386;63883;false;true;true;false
