id;odata_etag;no;job_no;vendor_code;vendor_name;country_code;country_name;partner_amount;is_active;created_by;last_modified_by;created_date;last_modified_date
1;parsing;70472;payment;1080p service-desk programming;withdrawal North;NO;tan;19262;true;Village alarm eco-centric;Hollow;2024-01-30;2024-01-31
2;Practical Cambridgeshire West;61540;B2C Ruble pixel;Mission;channels Account;FM;Chicken;58494;true;schemas;reboot Customer Botswana;2024-01-30;2024-01-30
3;haptic 24/365 Awesome;15079;North;Movies;Soft foreground;ML;Dynamic Versatile blockchains;39007;true;Granite index Security;lime Accounts;2024-01-30;2024-01-31
4;hacking bus;36280;Decentralized circuit Senior;Cambridgeshire Designer portal;monitor Web;OM;Inlet Pants;60588;false;multi-byte utilisation Operative;withdrawal markets Metal;2024-01-30;2024-01-30
5;action-items;76366;Station indigo;Pants intermediate;Internal Metrics;MY;Loan;90843;true;Cambridgeshire;utilize Specialist;2024-01-31;2024-01-30
6;payment;58331;architectures;Shirt interface;green teal harness;DO;navigate convergence empowering;58871;true;Card Small;Central Accounts withdrawal;2024-01-30;2024-01-30
7;Bedfordshire New digital;89445;Hawaii Outdoors;Mauritania;Washington;GE;and Beauty;15560;true;Land;COM program;2024-01-30;2024-01-30
8;yellow;90290;B2C Developer copying;wireless;technologies Response;WF;exuding violet scalable;51473;false;Macedonia;GB microchip policy;2024-01-31;2024-01-31
9;Savings redefine;63458;redundant SSL data-warehouse;Savings Peso;Fresh lavender;AF;Networked Corporate Metal;45263;false;Assistant;input enterprise Account;2024-01-31;2024-01-30
10;Human SDD olive;98402;Games Customer;synthesize pink Object-based;Shoals Palestinian;TK;e-commerce Developer;55223;false;THX deposit;Colorado Books Division;2024-01-30;2024-01-31
