id;name;type;parent_id;description
1;program;payment Account withdrawal;39977;Incredible
2;Pants Greens heuristic;Supervisor Home modular;97294;portals facilitate Fresh
3;haptic;SSL Mississippi compress;83176;Frozen Unbranded
4;payment withdrawal Sausages;Computers Soap silver;87416;Fish
5;platforms Mouse multi-byte;Shirt;44855;Wooden
6;holistic Intelligent;Diverse multi-state;76894;Rustic lime state
7;connect gold cyan;Chips Identity mint;29972;haptic Refined Cotton
8;e-commerce Strategist;24/7;65795;transmit
9;Account Orchestrator coherent;indexing;95797;holistic local
10;Sausages Gold Strategist;incremental compressing;26039;Wooden
