id;period;n_count;course_id;course_name;country_code;created_by;last_modified_by;created_date;last_modified_date
1;67227;61246;Chief calculate;Nevada;CX;value-added Executive;Sports;2023-08-28;2023-08-28
2;40498;23325;Coordinator Seychelles revolutionary;generating initiatives;EC;Ranch;Pizza Visionary;2023-08-28;2023-08-28
3;95630;99762;Ball;Roads withdrawal;TL;Pakistan;productivity primary;2023-08-28;2023-08-28
4;69608;19199;e-tailers Chad Nebraska;Granite;NI;Belize holistic;frictionless New;2023-08-29;2023-08-29
5;20591;24094;policy;systems;MF;paradigms Soap to;Road Assimilated;2023-08-28;2023-08-29
6;57160;51216;world-class invoice;Factors green Borders;AQ;Throughway Unbranded;Communications Cambridgeshire Developer;2023-08-28;2023-08-29
7;82323;90093;Shilling Consultant Soft;Games;CR;Pula panel;teal B2C salmon;2023-08-28;2023-08-28
8;42553;89587;Liaison approach Research;Loan;JP;Buckinghamshire withdrawal Table;driver world-class;2023-08-29;2023-08-29
9;29238;10158;Iowa;Buckinghamshire;MW;Handcrafted Books Rustic;Plastic;2023-08-28;2023-08-28
10;32144;65070;strategize revolutionary;green Configurable gold;IO;Investor;Unbranded;2023-08-28;2023-08-28
