id;type;location;title;description;start_date;end_date;url;eun_contact;course_modules;course_duration;course_type;modules;status;engagement_rate;completion_rate;name
1;Tuna integrated deposit;holistic SAS;Cambridgeshire fuchsia;back-end Account;2023-04-28;2023-04-27;http://charlotte.info;Oval;24/7 data-warehouse;50332;copying;69734;Paradigm Human;4913;83878;radical transmitting
2;Accounts;portals Ergonomic payment;quantify discrete Gorgeous;Factors RSS maximize;2023-04-28;2023-04-27;http://adolfo.info;Steel Lats;Bedfordshire deposit;18829;Nauru auxiliary Direct;20234;Team-oriented;10347;68613;real-time Computer International
3;Shoal;modular firmware;THX overriding;Direct;2023-04-28;2023-04-28;http://alivia.info;Bedfordshire Music;interactive invoice;30193;North;75638;paradigms;57629;15646;maximized Infrastructure Accountability
4;panel Tools transmitting;e-enable;Developer architecture orchid;SAS;2023-04-28;2023-04-27;http://johnnie.name;salmon;incentivize;97050;Customer green;79334;Concrete;16531;76114;Officer Investor Dominica
5;holistic Savings;Metal Industrial Home;HTTP Gorgeous;Alaska navigate;2023-04-28;2023-04-28;https://maribel.name;e-tailers;payment mobile;87404;Lek;85355;Avon;50849;7976;Web integrate
6;Lead;open-source Burgs efficient;Specialist Concrete Operations;Shoes matrix Human;2023-04-28;2023-04-28;https://jamal.net;Branding;Metal Global;7564;invoice;90563;visionary;63027;10374;Table
7;Steel Wallis;circuit deposit;connecting;quantifying;2023-04-28;2023-04-27;https://fidel.org;black actuating;JSON Group;36730;cohesive District flexibility;93089;open-source Dollar Checking;99439;22441;Small viral
8;transmit;interface initiatives;Metal sky Fantastic;Wooden Borders;2023-04-28;2023-04-28;https://lavada.biz;Producer;Keyboard;88336;Outdoors Engineer;21472;actuating;21513;64180;invoice payment Borders
9;data-warehouse mobile Norwegian;convergence Home silver;Buckinghamshire;mission-critical Manager Movies;2023-04-27;2023-04-27;http://catherine.name;invoice Incredible;Central Credit users;30329;withdrawal;90205;Outdoors Usability;7728;39262;support
10;models payment Compatible;FTP;Self-enabling;Park Aruban;2023-04-27;2023-04-27;https://mac.org;Plaza;ADP Frozen;81130;Buckinghamshire Expanded Account;62720;back Unit generate;61542;67742;Tactics hard deposit
