id;country_code;country_name;country_representative_first_name;country_representative_last_name;country_representative_mail;country_representative_position;country_representative_start_date;country_representative_end_date;country_representative_ministry;country_representative_department;contact_eun_first_name;contact_eun_last_name;type;is_active;created_by;last_modified_by;created_date;last_modified_date
1;TM;rich tolerance;e-business;Account hacking;Usability FTP Savings;Stand-alone Interactions;2023-07-04;2023-07-03;Metal;Buckinghamshire Hawaii Agent;wireless;Jamaican Music parsing;Regional;true;Crossing;Chips Kwacha;2023-07-03;2023-07-04
2;CV;methodologies Trail;intangible holistic Minnesota;Infrastructure relationships States;Marketing online;Upgradable;2023-07-03;2023-07-04;Intelligent navigating Burundi;Usability Paradigm;Beauty;Cyprus National;copying;false;Taiwan Euro;Turkey;2023-07-03;2023-07-03
3;BM;XSS digital;Dollar;invoice Avon Courts;value-added functionalities markets;Mexico Creative Mouse;2023-07-04;2023-07-03;Leone Maryland;generation Avon;neural auxiliary Awesome;index;Franc;true;global Account Quality;Down-sized Cambridgeshire Function-based;2023-07-04;2023-07-04
4;ER;Internal;Metal;AI;virtual Computers copy;Wooden;2023-07-04;2023-07-03;models Market;Developer;payment Rubber Savings;User-friendly HDD protocol;Sleek generate drive;true;Wooden deposit;virtual;2023-07-04;2023-07-03
5;GY;open-source Versatile;Route;Intelligent blockchains;open-source;Bhutan;2023-07-03;2023-07-04;bleeding-edge contingency Cotton;application Litas cross-media;indigo Investor Tasty;Investor payment;TCP Virginia ivory;true;Freeway Borders infrastructure;of toolset;2023-07-04;2023-07-03
6;GA;calculating Engineer Isle;bypassing Berkshire;4th Investor;parsing;Senior intangible Fresh;2023-07-03;2023-07-03;open-source Wooden;salmon;quantifying;Bacon scalable;Manager tan;true;FTP;Producer Cheese;2023-07-03;2023-07-03
7;ST;Analyst Account transmit;wireless Home;SAS;Gloves Mobility Singapore;bricks-and-clicks Fresh;2023-07-03;2023-07-03;compressing;open-source;ROI Keyboard e-tailers;channels;Tools;false;Health;out-of-the-box;2023-07-04;2023-07-03
8;IL;Usability proactive service-desk;Port Virginia function;array Plastic back-end;Interactions withdrawal;Licensed;2023-07-04;2023-07-04;Maryland neural cross-platform;networks Borders generate;AGP;loyalty Research Agent;system program;false;partnerships Bedfordshire input;integrate Robust;2023-07-03;2023-07-04
9;EH;protocol withdrawal;front-end Forward;Montana;networks Soap;Borders Tenge;2023-07-04;2023-07-03;Home utilize;Cambridgeshire JBOD;withdrawal;port Small;Personal experiences;true;distributed;Station embrace;2023-07-04;2023-07-03
10;HU;Account Steel quantifying;black Fantastic;Fantastic Beauty online;SMTP;Walk Market;2023-07-03;2023-07-03;Checking;up;backing invoice strategize;multi-byte white Games;orange;true;Inlet Street;back Rupee;2023-07-03;2023-07-03
