id;person_id;position;start_date;end_date;department;eun_contact_firstname;eun_contact_lastname;cooperation_field;status
1;65650;eco-centric North whiteboard;2023-04-28;2023-04-27;Plastic Interactions;proactive paradigms Locks;Mexico;Somalia Data;Intelligent panel productivity
2;74159;Hat Designer District;2023-04-27;2023-04-27;Computer capacitor;object-oriented Hryvnia;National;Kids Gorgeous;Michigan killer invoice
3;1169;Officer;2023-04-27;2023-04-27;Shoes BCEAO;Cambridgeshire;Managed Kids;workforce Wooden;uniform rich invoice
4;83338;Metal SDD User-centric;2023-04-27;2023-04-28;Lira workforce Dynamic;withdrawal Awesome initiatives;Small bluetooth Metrics;white;Soft Stream
5;36457;parsing Down-sized Louisiana;2023-04-28;2023-04-27;invoice Knoll;microchip analyzer Michigan;Fully-configurable Games Idaho;Bedfordshire bypass;blockchains SMS pink
6;73912;Bedfordshire;2023-04-28;2023-04-28;Functionality Wisconsin;Operations Regional indexing;Supervisor;sexy;recontextualize Berkshire
7;7888;copying Garden Developer;2023-04-28;2023-04-28;orchestrate Denmark;firewall parsing orchid;generation;payment open-source;Unbranded neural Designer
8;5324;RAM;2023-04-27;2023-04-27;Dynamic;archive Director Islands;Implementation Programmable;wireless Future-proofed reboot;Chicken clicks-and-mortar
9;30299;Account Granite;2023-04-28;2023-04-28;Unbranded India;Consultant Global hierarchy;Michigan Upgradable;Grocery Garden structure;Practical withdrawal Corner
10;92196;Avon teal multi-byte;2023-04-28;2023-04-28;EXE;Chair;Quetzal;Engineer Colorado;Fresh Account
