id;status;supported_country_ids;supported_language_ids;name;acronym;period;description;contact_email;contact_name;total_budget;total_funding;total_budget_for_eun;total_funding_for_eun;funding_value;percentage_of_funding;percentage_of_indirect_costs;percentage_of_funding_for_eun;percentage_of_indirect_costs_for_eun;funding_extra_comment;programme;eu_dg;role_of_eun;summary;main_tasks;expected_outcomes;eu_call_reference;eu_project_reference;eu_call_deadline;project_manager;reference_number_of_project;eun_team;sys_creat_timestamp;sys_creat_ip_address;sys_modif_timestamp;sys_modif_ip_address
1;CLOSED;Polarised;Books;Franc Table Micronesia;Center;payment utilize Account;Regional;technologies Soft Senior;Assistant Bike;48090;52464;34608;65745;78300;21605;81135;88483;67092;vortals revolutionary;Computer Supervisor;ROI turquoise Brand;intuitive Corners Buckinghamshire;Cambridgeshire;Optional Carolina navigating;Multi-lateral;cohesive Optional firewall;technologies Ringgit Up-sized;back-end;violet;61294;back-end;2023-04-27T02:13:16;USB input port;2023-04-27T08:54:38;Computer invoice digital
2;CLOSED;services infomediaries Technician;synthesizing Gloves;Villages world-class;indexing Bedfordshire;Cambridgeshire Plastic green;Throughway Hryvnia Liaison;interactive;Plastic;3752;10615;54610;21157;30395;8672;42978;47258;89442;South;teal e-services;International networks;Architect Metal;mission-critical connect JBOD;exploit;Arabia withdrawal;black disintermediate;Buckinghamshire;Handmade bypassing;Borders;33983;bypass;2023-04-27T06:26:18;Frozen eyeballs;2023-04-27T02:17:06;connect salmon
3;REQUESTED;Dollar programming;invoice Utah initiatives;functionalities Prairie SMTP;alarm;Ball;York Designer;brand;methodology;51635;69774;99027;99147;7677;39829;37682;36944;62499;back systems;Savings;applications;Market;innovative coherent connecting;Associate;indexing East;Gloves;Tasty Iranian 4th;Buckinghamshire;User-centric;96522;groupware copying bus;2023-04-26T14:48:04;Pike Landing;2023-04-26T23:08:46;optical Books Architect
4;REVIEWED;Wooden quantify purple;convergence SAS;index Bhutan;indigo Dakota;bi-directional;Borders;cross-platform Account Garden;olive AI Hawaii;65412;59350;37655;78915;59770;2586;7930;37095;19642;parse Savings Bypass;Unbranded;Computer;Cliff sticky;Account world-class;Dollar;Frozen Account Cotton;overriding;Market synthesize;Guinea Incredible Carolina;SMTP;46165;Ville Intranet Customer;2023-04-27T09:35:48;withdrawal Licensed;2023-04-27T04:23:20;Integration
5;ACTIVE;Dakota Macao Zimbabwe;driver;transmitting bypass;composite Generic Marketing;recontextualize Mouse Pants;Computer Tools workforce;copy PCI array;metrics;85065;20131;605;58848;70825;9386;39807;98849;47708;Avon program Sleek;Illinois quantifying;aggregate Handcrafted;contextually-based Identity e-tailers;Facilitator Applications Director;Berkshire Bahrain;intermediate Bedfordshire;utilize;bottom-line Investor;Pa'anga Swedish;Lead Metal Colorado;96694;Incredible Soft info-mediaries;2023-04-26T17:08:33;Soap Markets Planner;2023-04-27T02:40:05;transmit
6;REVIEWED;Streamlined;copying B2B orchid;invoice;Producer SCSI;sexy Decentralized;driver parse;Towels;Bedfordshire neural conglomeration;48486;96319;90641;69693;51883;57967;98566;49047;6950;Factors;Marketing Liaison;Operations Face;Loan;monitor;evolve;driver;override Sausages;Cloned Account maximize;neural;neural Synchronised systemic;81973;pink redundant;2023-04-27T01:59:29;Table Fundamental;2023-04-26T17:10:45;Awesome overriding Associate
7;REQUESTED;Tuna optical;Concrete up Land;Enterprise-wide Brunei;Cotton Pants;programming Garden Loan;CSS;virtual Industrial Berkshire;Cambodia;82582;76941;9921;40444;2653;69027;47768;22794;69469;User-centric Division Music;Books generating Soft;Gorgeous;gold Rubber attitude-oriented;Sausages Bedfordshire;deposit application;utilize;Paradigm Communications multi-byte;Carolina;leading feed;Pre-emptive Frozen Games;14434;Electronics copying;2023-04-26T10:49:29;Fantastic driver;2023-04-27T07:30:48;Trail web-enabled
8;ACTIVE;Games;invoice Applications;South algorithm wireless;program;Arkansas Jewelery;connect Account;Chair haptic District;radical strategize;79934;18792;22655;39385;75051;35281;94112;72805;73896;payment gold Liaison;best-of-breed overriding;Loan;value-added transmit context-sensitive;Handcrafted;Customer Pataca New;Tuna invoice;Plastic Berkshire;upward-trending Pizza;Human deposit;Future;80056;adapter scalable;2023-04-26T21:29:20;monitor magenta Licensed;2023-04-26T18:14:21;Corporate Berkshire
9;DRAFT;back-end Hat SCSI;circuit Division Handcrafted;Electronics Krone Technician;Cambridgeshire Chief;Cedi motivating;strategy global;Marketing application;Dollar Identity grey;47958;43558;19159;49193;46610;89244;19011;87099;65971;program;sensor;Handmade matrix 24;Assurance Table;analyzer Wooden input;Wooden;XML;Cotton Buckinghamshire;Tasty;compress enable Chicken;Metal world-class copy;92362;Bacon Savings;2023-04-27T02:04:05;Planner Manager;2023-04-27T05:39:41;Markets Chad seize
10;REVIEWED;AI;Soft open-source bypassing;synthesize;Sleek Account;open-source Frozen Salvador;orange Metal;Colorado Organized;Specialist Berkshire;70893;4088;72357;36961;40836;70486;57377;55450;21080;Sleek vertical Fully-configurable;solutions copy;Cambridgeshire;invoice;needs-based parse;granular Colorado Granite;matrix withdrawal Africa;Table hardware;evolve;Arizona Bike Soap;Ball;72692;Frozen;2023-04-26T18:17:34;Infrastructure Distributed;2023-04-27T08:36:01;Gibraltar Berkshire Incredible
