id;name;type;start_date;end_date;is_active;created_by;last_modified_by;created_date;last_modified_date
1;composite;lime internet Mission;2024-03-17;2024-03-17;true;Table policy;national;2024-03-17;2024-03-17
2;Soft;IB PCI Libyan;2024-03-18;2024-03-17;true;Denmark;SMTP Assistant Rubber;2024-03-17;2024-03-18
3;neural;redundant dynamic;2024-03-18;2024-03-17;false;Tasty;Locks circuit;2024-03-17;2024-03-17
4;Sausages solid indexing;back-end indexing Account;2024-03-17;2024-03-17;false;Steel;synergize complexity Divide;2024-03-17;2024-03-18
5;program;Pines index programming;2024-03-18;2024-03-18;false;Solutions Outdoors foreground;connecting;2024-03-17;2024-03-17
6;Gloves Chips Avon;Liberian;2024-03-17;2024-03-18;true;Manager Cambridgeshire generating;reboot Licensed high-level;2024-03-17;2024-03-18
7;generate functionalities Kuwaiti;Small B2C;2024-03-17;2024-03-17;true;Regional Account;quantifying invoice;2024-03-18;2024-03-17
8;grow lavender;solution Facilitator metrics;2024-03-18;2024-03-17;false;GB;Account;2024-03-17;2024-03-17
9;Officer Sleek USB;Home Grocery;2024-03-18;2024-03-18;false;payment;International SSL;2024-03-18;2024-03-18
10;program Refined;transmit Wooden National;2024-03-18;2024-03-17;false;Associate Configuration Re-engineered;Well;2024-03-17;2024-03-17
