id;type;priority_number;template;is_active
1;Account;22772;Specialist alarm revolutionize;true
2;sky Solutions;32416;Car Tennessee Cambridgeshire;true
3;Designer;66638;maroon USB;false
4;Licensed Cotton Soap;79607;contextually-based turn-key synthesize;true
5;neutral action-items;43702;Cambridgeshire visionary;false
6;optimal;34780;Soft online background;true
7;fault-tolerant;53919;Adaptive;true
8;navigate;73811;Implementation Strategist;false
9;Group Small Cotton;83281;Berkshire Awesome;false
10;transition olive;64560;parse;false
