id;languages;formal_name;english_name;acronym;description;website;steercom_member_name;steercom_member_email;postal_address_region;postal_address_postal_code;postal_address_city;postal_address_street;status;eun_contact_firstname;eun_contact_lastname;eun_contact_email;invoicing_address;financial_corresponding_email
1;Account;gold;Borders North;leverage alarm;Borders Architect networks;parsing;Communications Rubber cross-platform;Wooden Baby;Account;Corporate generate Shirt;Rubber Polarised;Avon;Guyana maroon Streamlined;Steel Human;Concrete indigo;hacking Singapore withdrawal;Indiana Dominica Personal;Bacon Berkshire
2;brand;Idaho;intangible;olive;TCP brand;invoice;Towels Switzerland port;Advanced Intelligent deposit;grow initiative;Lek;Lithuania input;black;circuit;XSS partnerships COM;Cotton overriding Ball;Data;Regional;best-of-breed
3;Designer exploit cross-platform;Executive Producer;Soft Investor;FTP deposit customized;Bacon Executive;Liechtenstein Fork;extend;Estonia payment;Functionality;Croatian Berkshire Officer;visualize;leading-edge;Mobility Movies Ergonomic;Fresh magnetic Avon;River;Human Plastic invoice;solid;invoice payment customized
4;Infrastructure Fresh Norfolk;New;port;definition;ADP Isle payment;Missouri Handmade;open-source seize;Chips Object-based;matrix Metrics;Producer;GB;Enhanced maximized;global;Buckinghamshire portals compelling;Public-key Berkshire;bluetooth exploit;monetize;Jewelery
5;green Bike;Applications Applications;directional middleware program;virtual invoice;silver JSON;Plastic;Bedfordshire;Direct Ameliorated cross-platform;SAS Bedfordshire Licensed;UAE;program Chicken;Polarised;Account impactful;Dynamic invoice;bypassing Pizza;withdrawal Infrastructure Pants;channels microchip;viral application Franc
6;application ubiquitous;Metrics Facilitator;deposit sky firewall;AI Plastic Outdoors;AGP Soft Future;Louisiana;Designer;Buckinghamshire Tobago Direct;invoice States;Profit-focused;Rubber edge;communities Chicken Salad;Books Tunisian;leading-edge Minnesota Global;override;hub;data-warehouse;payment Metal
7;Bahamas circuit neural;web-readiness Account Montana;Metal;user-centric array;Rhode Tuna Keyboard;Libyan;Cheese;applications Streets content;orange Music;XSS invoice;Florida;Oregon black;Buckinghamshire;redundant Car;time-frame Money;needs-based olive;primary withdrawal Planner;Table
8;Small defect user-centric;Buckinghamshire;Forward clicks-and-mortar object-oriented;Electronics aggregate yellow;Representative;Quality;up granular;Investor Unbranded;Steel Frozen Fresh;strategic navigate;1080p;engage radical;Ameliorated enterprise;real-time;EXE bypassing;Regional leverage;Mongolia;cross-platform Borders
9;transmit empower JSON;Beauty Dollar;Borders TCP;client-driven;Gourde;repurpose function card;deposit lavender;back-end;Legacy;Gorgeous green;connect;bus human-resource Steel;Account compressing well-modulated;RSS;programming SMS;coherent;empower wireless Small;collaboration Auto Metrics
10;Brand indigo Madagascar;Account bottom-line Dollar;Motorway;1080p Versatile;empower Colorado;Russian synthesizing dedicated;Morocco;web-enabled interactive;neural infomediaries back-end;Dinar Health capacitor;synthesizing;Glen Analyst B2B;connecting;Administrator Cross-platform drive;panel program;Granite transmit withdrawal;JBOD Account;functionalities
